Russian,Occidental,Extra Info
дрейфовать,drivar,<B>R: </B>driv|ar<BR> дрейфовать<BR>(mar)
лекарства,drogue,<B>R: </B>drogu|e<BR> лекарства
забавный,drolli,<B>R: </B>drolli<BR> забавный
дромедар|верблюд,dromedare,"<B>R: </B>dromedar|e<BR> дромедар, верблюд"
тонуть,dronar,тонуть
два,du,<B>R: </B>du<BR> два<BR>= 2
сомневаться,dubitar,<B>R: </B>dubita|r<BR> сомневаться
душ,duche,<B>R: </B>duch|e<BR> душ
вести,ducter,"<B>R: </B>duct|er<BR>вести<BR>= <A href='bword://conducter'>conducter</A>, in-, de-, intro-, pro-, re-, se-"
дуэль,duell,<B>R: </B>duell<BR> дуэль
дуэт,duett,<B>R: </B>duett<BR> дуэт
сладкий,dulci,<B>R: </B>dulci<BR> сладкий
сладость,dulciore,сладость (качество)
следовательно|итак,dunc,"следовательно, итак"
дюна,dune,<B>R: </B>dun|e<BR> дюна
дурак|прил|мошеннический|обманный,dup,"<B>R: </B>dup<BR>дурак<BR>-ar, -erie<HR><I>прил.</I> мошеннический, обманный"
обманывать|дурачить,dupar • dupa • dupat,"обманывать, дурачить"
надувательство|обман,duperi'e • duperie,"надувательство, обман"
простак|глупец,dupo,"простак, глупец"
мошенник|плут,dupon,"мошенник, плут"
твердый,dur,<B>R: </B>dur<BR> твердый
длительность|продолжительность|в|течение|в|продолжение,durada • durar,"длительность, продолжительность<BR><B>in durada</B> в течение, в продолжение"
продолжаться|длиться,durar,"<B>R: </B>dur|ar<BR> продолжаться, длиться"
динамо,dynamo,"<B>R: </B>dynam|o<BR> динамо<BR>-ic, -ist, -ism, -it"
династия,dynastie,<B>R: </B>dynast|ie<BR> династия<BR>-ic
из-|и|а,e • e-,"<B>R: </B>e-<BR>из-<BR>in sciential paroles = ex-<HR><B>e</B> и, а"
идти,ear,<B>R: </B>ea|r<BR> идти
черное|дерево,eben,<B>R: </B>eben<BR> черное дерево
пьяный,ebri,<B>R: </B>ebri<BR> пьяный
пьянство,ebrie,пьянство
церковь,ecclesie • eclesie • eclesia,<B>R: </B>e(c)clesi|e<BR>церковь (организация)
сенсация,eclat,"<B>R: </B>eclat<BR> сенсация<BR>-ar, -ant F syn. sensation"
церковь,eclesia,церковь (храм)
церковь,eclesie,церковь (организация)
затмение,eclipse,<B>R: </B>eclipse<BR><I><B>*</B></I> затмение<BR>-ar (astr)
эклиптика,ecliptica,<B>R: </B>ecliptica<BR> эклиптика
эхо,eco' • eco,<B>R: </B>eco'<BR>эхо
эконом-,econom,"<B>R: </B>eсonom<BR>эконом- = -ический, -ия, -ист<BR>-ic, -ie, -ist, -isar"
экономия,economie,экономия
экран,ecran,<B>R: </B>ecran<BR> экран
указ|эдикт,edict,"<B>R: </B>edict<BR> указ, эдикт"
назидать|наставлять,edificar,"назидать, наставлять"
здание,edificie,<B>R: </B>edifici|e<BR> здание
издавать,editer,"<B>R: </B>edit|er<BR> издавать<BR>-ion, -or, --ia"
воспитывать,educar,<B>R: </B>educa|r<BR> воспитывать
вычеркивать|стирать,efaciar • efacia • efaciat,"вычеркивать, стирать"
встревожить|испугать,efaruchar • efarucha • efaruchat,"встревожить, испугать"
оробеть,efaruchar se • efaruchar,оробеть
эфект,efect,эфект <A href='bword://effect'>effect</A>
действительно,efectivmen • effectivmen,действительно
эфемерный|эфемериды,efemer,"<B>R: </B>efemer<BR> эфемерный, эфемериды<BR>-ide; = ephemer"
действие,effect,"<B>R: </B>effect<BR> (воз)действие<BR>-er, -iv"
выполнять,effectuar,<B>R: </B>effectu|ar<BR> выполнять
усилие,efortie,усилие
одинаковый,egal,<B>R: </B>egal<BR> одинаковый
субъект|эго|мыслящая|личность|мое,ego,"<B>R: </B>ego<BR><I><B>*</B></I> субъект, эго, мыслящая личность, мое 'я'<BR>-ist, -centric"
извергать|выбрасывать|выталкивать,ejecter,"<B>R: </B>eject|er<BR> извергать, выбрасывать, выталкивать<BR>vid. jecter"
эластичный,elastic,<B>R: </B>elastic<BR> эластичный<BR>-ita
выбирать,electer,"<B>R: </B>elect|er<BR> выбирать<BR>-ion, -or, -ibil, -iv"
электро-,electr-,"<B>R: </B>electr-<BR> электро-<BR>-ic, --ita', -isar, -o-magnet, --lyse, --motor etc."
слон,elefant • elefante,<B>R: </B>слон
изысканный|сделанный|со|вкусом|элегантный,elegant,"<B>R: </B> изысканный, сделанный со вкусом, элегантный (об одежде)<BR>-ie"
элегия,elegie,<B>R: </B>elegie<BR> элегия
элемент,element,<B>R: </B>element<BR> элемент
воспитанник,elev,<B>R: </B>elev<BR> воспитанник
опускать|при|произношении,elider,<B>R: </B>elid|er<BR><I><B>*s</B></I> опускать (звук) при произношении<BR>-ion
устранять,eliminar,<B>R: </B>elimina|r<BR><I><B>*</B></I> устранять
элипс,elipse • ellipse,<B>R: </B>el(l)ips|e<BR><B><I>*</B></I> элипс
элита,elite,<B>R: </B>elit|e<BR> элита
эликсир,elixir,<B>R: </B>elixir<BR> эликсир
она,ella • la,<B>N:</B> она
красноречивый|умеющий|красиво|говорить|обладающий|красноречием,eloquent,"<B>R: </B>eloquent<BR> красноречивый, умеющий красиво говорить, обладающий красноречием (о человеке)<BR>-ie"
эмаль,email'e,<B>R: </B>email'|e<BR> эмаль
исходить|истекать|происходить|выпускать|испускать|излучать|выделять,emanar,"<B>R: </B>emana|r<BR> 1) исходить, истекать (ex) 2) происходить (de) 3) выпускать, испускать; излучать; выделять<BR>-tion"
эмансипировать,emancipar,<B>R: </B>emancipa|r<BR> эмансипировать
смущать|препятствовать|затруднениия|затрудняюсь,embarassar • embarassa • embarassat,"<B>R: </B>embarass|ar<BR>смущать, препятствовать<HR><B>yo es embarassat</B> я в затруднении, я затрудняюсь"
давка|загромождение|затор,embarasse,"давка, загромождение, затор"
эмблема,emblem,<B>R: </B>emblem<BR> эмблема
эмбрион,embrion,<B>R: </B>embrion<BR> эмбрион<BR>= embryon
исправлять|улучшать|поправлять,emendar,"<B>R: </B>emenda|r<BR> исправлять, улучшать; поправлять"
всплывать|появляться|возникать,emerger,<B>R: </B>e|merg|er<BR><I><B>s</B></I> всплывать; появляться; возникать<BR>vid. merger
отставной,emerit,<B>R: </B>emerit<BR> отставной<BR>-ura
подчеркивать,emfar • emfa • emfat,<B>R: </B>emfa(s)<BR>~ar подчеркивать<BR>-(t)ic
подчёркивать,emfasar • emfasa • emfasat,подчёркивать <A href='bword://emfar'>emfar</A>
эмфаза|напряженность|в|произношении,emfase,"эмфаза, напряженность в произношении"
переселяться|эмигрировать,emigrar,<B>R: </B>e|migr|ar<BR> переселяться; эмигрировать
выдающийся|известный,eminent,"выдающийся, известный"
быть|известным,eminer,"<B>R: </B>emin|er<BR> быть известным<BR>-ent, --ie"
выделять|распространять|фин|эмиссия|физиол|поллюция,emisser,"<B>R: </B>e|miss|er<BR> выделять, распространять (тепло, свет, запах) ~ion 1) фин. эмиссия 2) физиол. поллюция<BR>-ion, -iv, -ario"
передатчик,emissor,передатчик
эмоция,emotion,<B>R: </B>e|motion<BR> эмоция
эмпирический,empirie,<B>R: </B>empiri|e<BR> эмпирический
применять|использовать,employar • employa • employat,"применять, использовать"
чиновник|служащий,employate,"чиновник, служащий"
эмульсия,emulsion,<B>R: </B>emulsion<BR> эмульсия
затруднение|помеха|препятствие,enbarass,"затруднение, помеха, препятствие"
энциклопедия,encyclopedie,<B>R: </B>encycloped|ie<BR> энциклопедия
местный,endemie,<B>R: </B>endemi|e<BR> местный
энергия,energie,<B>R: </B>energ|ie<BR> энергия
раздражение,enervament,раздражение (нервное)
нервировать,enervar • enerva • enervat,нервировать
нервный|раздраженный,enervativ,"нервный, раздраженный"
загадка,enigma,<B>R: </B>enigma|(t)<BR>загадка<BR>-ic
огромный,enorm,<B>R: </B>enorm<BR> огромный
скука,enoya,скука
скучный,enoyabil,скучный
надоедать,enoyar,<B>R: </B>enoya|r<BR> надоедать
наскучить,enoyar se • enoyar,наскучить
скучный,enoyativ,скучный
существо,ente,<B>R: </B>ent|e<BR> существо<BR>-ita
столковаться,entender se • entender,<B>R: </B>entend|er (se)<BR>столковаться
энтомология,entomolog,"<B>R: </B>entomolog<BR> ~ia - энтомология<BR>-ia, -ic"
энтузиазм,entusiasm,<B>R: </B>entusi|asm<BR> энтузиазм<BR>-ast
воодушевляться,entusiasmar se • entusiasmar • entusiasma • entusiasmat,воодушевляться
высказать,enunciar,высказать
эпидемия,epidemie,<B>R: </B>epidem|ie<BR> эпидемия<BR>-ic
эпидерма,epiderma,<B>R: </B>epiderma<BR> эпидерма
богоявление,epifanie,<B>R: </B>epifani|e<BR> богоявление
эпиграф,epigraf,<B>R: </B>epigraf<BR> эпиграф
эпиграмма,epigramm,<B>R: </B>epigramm<BR> эпиграмма
эпилепсия,epilepsie,<B>R: </B>epileps|ie<BR><I><B>t</B></I> эпилепсия
эпилог,epilog,<B>R: </B>epilog<BR> эпилог
епископ,episcop,<B>R: </B>episcop<BR> епископ
эпизод,episode,<B>R: </B>episod|e<BR> эпизод
письмо,epistul,<B>R: </B>epistul<BR> письмо
эпитафия,epitafie,<B>R: </B>epitafi|e<BR> эпитафия
эпитет,epitet,<B>R: </B>epitet<BR> эпитет
эпоха,epoca,<B>R: </B>epoc|a<BR> эпоха
плечо,epol,<B>R: </B>epol<BR> плечо<BR>-ette
эпопея,epope',<B>R: </B>epope'<BR> эпопея
эпос,epos,<B>R: </B>ep|os<BR> эпос<BR>-ic
надеяться,epserar,<B>R: </B>epsera|r<BR> надеяться
